ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP3896	Dengue 2 interactions with complement and coagulation cascades	14/679	59/8435	0.000183990258276435	0.00210881142178375	0.00163381362949924	5329/5054/7450/5328/5648/710/715/717/7056/1604/728/3426/721/629	14
WP2431	Spinal cord injury	22/679	120/8435	0.00019920405275275	0.00222610528951198	0.00172468771988565	4843/5743/2920/3383/4318/6347/3458/3552/3553/63827/301/3569/2212/2919/3627/50515/6403/1282/5320/11025/7124/4321	22
WP5272	LDL influence on CD14 and TLR4	8/679	23/8435	0.000278700799227714	0.00296280819104024	0.00229545247816376	84699/6347/3553/3569/3586/9586/5600/6300	8
WP545	Complement activation	8/679	23/8435	0.000278700799227714	0.00296280819104024	0.00229545247816376	5199/5648/715/717/1604/721/629/720	8
WP1433	Nucleotide binding oligomerization domain NOD pathway	11/679	41/8435	0.00028501286848933	0.00296280819104024	0.00229545247816376	639/4210/3553/84674/834/838/50506/91662/114548/64127/199713	11
WP4969	RAS and bradykinin pathways in COVID 19	9/679	29/8435	0.000309832225225135	0.00314761374262807	0.00243863162916434	5054/3552/3553/59272/183/710/1636/1576/7124	9
WP5276	Estrogen metabolism	8/679	24/8435	0.000388877484067559	0.00376812448997148	0.00291937585588277	6783/1545/1559/1558/1576/1551/1557/7364	8
WP5333	Enterocyte cholesterol metabolism	10/679	36/8435	0.00039535521536112	0.00376812448997148	0.00291937585588277	29881/338/6713/337/335/3949/64240/4547/64241/4597	10
WP4538	Regulatory circuits of the STAT3 signaling pathway	16/679	78/8435	0.000396201009012662	0.00376812448997148	0.00291937585588277	3595/3568/1439/50615/5159/1441/1271/3559/3601/9180/2151/3575/9021/5600/6300/11122	16
WP453	Inflammatory response pathway	9/679	30/8435	0.000411427797486006	0.00383142136408843	0.00296841546870386	3918/3568/958/1277/3458/941/3559/1278/1281	9
WP43	Oxidation by cytochrome P450	14/679	64/8435	0.000454351206422273	0.00414479569940319	0.00321120401531531	56603/1565/1562/1594/1545/1559/1558/1576/1551/1557/9420/8529/260293/1555	14
WP75	Toll like receptor signaling pathway	19/679	103/8435	0.000491212746537243	0.00439144195404295	0.00340229460233164	958/51311/1326/6772/8503/6696/941/3553/3569/7097/4283/23643/3627/6373/5600/6300/7124/6351/6348	19
WP5304	Cholesterol metabolism	15/679	72/8435	0.000501654818089034	0.00439685693501565	0.00340648988960356	29881/338/9388/6713/337/345/335/3949/341/27141/64240/4547/64241/4597/255738	15
WP24	Peptide GPCRs	15/679	73/8435	0.000585506237759727	0.00503310169766535	0.00389942413406782	1909/1234/3577/1230/7253/2358/2357/10663/10803/1237/6752/3579/1232/2826/728	15
WP5284	Cell interactions of the pancreatic cancer microenvironment	8/679	26/8435	0.000714949384613425	0.00602985613060756	0.00467166529370043	3902/6347/941/1234/1493/1437/3627/10581	8
WP3929	Chemokine signaling pathway	26/679	166/8435	0.000730217221915266	0.00604457589252081	0.00468306951286789	2268/10344/3055/6361/6364/6772/8503/6370/4283/2921/6374/5196/1230/2786/3627/6373/6356/10663/10803/1237/3579/1232/2826/4067/6351/6348	26
WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	11/679	47/8435	0.00100738742327849	0.00804745411493485	0.00623481079433313	7042/51311/6347/7043/29126/941/3559/1493/3627/8651/406938	11
WP176	Folate metabolism	14/679	69/8435	0.00100818217099855	0.00804745411493485	0.00623481079433313	338/3383/5054/6347/3458/6648/335/3553/3949/6289/3569/875/6288/7124	14
WP2848	Pluripotent stem cell differentiation pathway	11/679	48/8435	0.00121379430596592	0.00932999371214369	0.00722846563356947	3082/2255/3589/7472/22943/7474/7043/3624/3569/3577/6469	11
WP5424	Omega 6 fatty acids in senescence	11/679	48/8435	0.00121379430596592	0.00932999371214369	0.00722846563356947	240/1800/5743/5054/5730/9415/9536/3992/246/5600/54898	11
WP5422	IL 19 signaling pathway	8/679	28/8435	0.00123147568012635	0.00932999371214369	0.00722846563356947	1277/6772/29949/6356/8651/4312/4586/7124	8
WP299	Nuclear receptors in lipid metabolism and toxicity	9/679	35/8435	0.00141047997324634	0.0105080758006852	0.0081411914245271	9971/1244/5243/1594/64240/1559/9970/1576/1555	9
WP5044	Kynurenine pathway and links to cell senescence	7/679	23/8435	0.00165787680052647	0.0121487037677923	0.00941227726269559	3458/8942/8564/3620/6999/169355/7124	7
WP716	Vitamin A and carotenoid metabolism	10/679	43/8435	0.00178341525590055	0.0128578486997991	0.009961691327526	56603/29881/5948/9227/8854/64240/6258/1382/64241/1381	10
WP2884	NRF2 pathway	22/679	141/8435	0.00191295049153717	0.013572839201859	0.0105156342809646	3082/1244/6515/4199/7042/6527/6532/1839/200010/159963/23657/115584/874/11182/6514/7364/340024/23764/2938/2939/54657/11254	22
WP4239	Epithelial to mesenchymal transition in colorectal cancer	24/679	162/8435	0.00249264680441031	0.0174095800245533	0.013488171030444	51208/4854/4313/7042/3091/4318/7472/24146/11211/6678/7474/8503/7043/7291/6615/1284/3678/9076/94234/7480/5600/1282/6300/4855	24
WP2911	miRNA targets in ECM and membrane receptors	9/679	38/8435	0.00261924192532008	0.0176749436049954	0.0136937629719616	50509/1284/1291/1293/1278/1281/7058/1282/1290	9
WP3614	Photodynamic therapy induced HIF 1 survival signaling	9/679	38/8435	0.00261924192532008	0.0176749436049954	0.0136937629719616	4843/6515/5743/285/3091/5054/7043/597/664	9
WP3942	PPAR signaling pathway	13/679	68/8435	0.00264926447770624	0.0176749436049954	0.0136937629719616	4199/2182/6319/345/335/9415/6258/2180/51129/126129/2172/4973/4312	13
WP5158	Urotensin II mediated signaling pathway	13/679	69/8435	0.00303023001319195	0.0199193061161295	0.0154325955780209	240/6624/4313/3383/4318/1277/4688/3553/7223/3569/1281/5350/7124	13
WP4718	Cholesterol metabolism with Bloch and Kandutsch Russell pathways	10/679	47/8435	0.00359534098379	0.0232915568080309	0.0180452659598308	2182/6319/6713/9415/9023/3992/2180/4597/8435/54898	10
WP3932	Focal adhesion PI3K Akt mTOR signaling pathway	38/679	302/8435	0.00366241340015395	0.0233717065265042	0.0181073624095605	4843/3082/3371/10319/3918/6515/84699/2255/50509/285/5008/3091/2254/1440/1277/7450/5159/6696/1441/5228/3559/1284/2252/3687/9180/9586/3689/3678/6514/1278/2786/1281/3575/5209/23566/7058/1282/1290	38
WP4496	Signal transduction through IL1R	8/679	33/8435	0.00384261528598125	0.0233717065265042	0.0181073624095605	11213/7042/3552/7043/3553/3569/3557/7124	8
WP465	Tryptophan metabolism	8/679	33/8435	0.00384261528598125	0.0233717065265042	0.0181073624095605	259307/6772/8942/8564/3620/316/6999/169355	8
WP5149	Lipid metabolism in senescent cells	6/679	20/8435	0.00386914157262038	0.0233717065265042	0.0181073624095605	240/5743/50487/84647/7941/283748	6
WP516	Hypertrophy model	6/679	20/8435	0.00386914157262038	0.0233717065265042	0.0181073624095605	3458/1839/3552/8013/467/11072	6
WP497	Urea cycle and metabolism of amino groups	6/679	21/8435	0.00505425636214123	0.0301233679183617	0.0233382504300978	1373/5009/4942/384/445/2628	6
WP455	GPCRs class A rhodopsin like	33/679	261/8435	0.00606532183633041	0.0356736692215749	0.0276383778968519	3274/8111/5737/2867/51554/27202/64106/1909/57105/5739/1234/3577/134/1230/2151/4543/5724/2358/2357/5031/10803/29909/2828/3352/1237/6752/3579/53829/1232/2826/56670/4888/8843	33
WP364	IL6 signaling pathway	9/679	43/8435	0.00631305608750341	0.0366485204040782	0.0283936493887713	639/3055/7076/6772/3659/183/3569/3726/9021	9
WP4197	Immune response to tuberculosis	6/679	22/8435	0.00648530465441671	0.0371657843656958	0.0287944025816882	6772/3437/3659/6890/8651/8519	6
WP3611	Photodynamic therapy induced AP 1 survival signaling	10/679	51/8435	0.0066300094188757	0.0375141039270562	0.0290642651407076	602/4313/3458/1839/3569/2252/3726/5600/6300/7124	10
WP4298	Acute viral myocarditis	14/679	85/8435	0.00749867467909942	0.041898844769468	0.032461368018733	4318/3458/6772/941/3569/3586/834/3689/1234/64127/1232/8651/1604/7124	14
WP4747	Netrin UNC5B signaling pathway	10/679	52/8435	0.00763337879078788	0.0421249422158294	0.0326365382997948	6401/3383/6347/1277/3552/3586/54538/249/1003/7124	10
WP167	Eicosanoid synthesis	6/679	23/8435	0.0081891027204956	0.0446405965373358	0.0345855557771894	240/1800/5743/5730/9536/246	6
WP236	Adipogenesis	19/679	131/8435	0.00842076841873871	0.0453504034117615	0.0351354826856694	56603/6319/5008/80339/3091/10135/5054/6772/7291/1271/1959/183/3569/6258/7480/1051/9021/8651/7124	19
WP5420	ADHD and autism ASD pathways	43/679	371/8435	0.00913152201570323	0.0485927421549922	0.0376475030471975	4843/2326/1272/4129/2346/1565/2906/79937/8029/6532/2557/3458/6648/5159/8942/8564/8503/3620/55065/6947/1559/316/152330/775/6999/2893/7498/1636/875/1576/249/248/1557/2562/2628/3352/9378/6900/392636/169355/100/116443/7124	43
WP5130	Th17 cell differentiation pathway	12/679	70/8435	0.00936773298067226	0.0492632546160059	0.0381669863856492	50943/30009/3091/50615/51561/3458/3605/6772/3553/3559/3569/9021	12
